record_id,customer_id,payment_id,customer_payment_count,customer_success_rate,customer_previous_failures,payment_amount,currency,payment_method,failure_reason,attempt_number,hours_since_failure,action_taken,previous_action,previous_attempt_count,recovered,amount_recovered,recovery_time_hours
rec_4bde7d883867f6,cust_c09c2ebe80da,pay_34f902b74580a4,8,0.711,2,647.01,INR,card,network_error,1,1.77,RETRY,,0,True,647.01,3.11
rec_88db369235c0c0,cust_0770d18fc916,pay_0bad4234395370,1,0.959,0,1016.16,INR,upi,payment_method_issue,1,0.63,RETRY,,0,True,1016.16,3.08
rec_02aa1c76d0e046,cust_cd32e7120c76,pay_f8e351ea9aebbc,16,0.5,8,432.09,INR,upi,authentication_failed,1,1.47,REMINDER,,0,False,0.0,0.0
rec_0400e249f8bb16,cust_cd32e7120c76,pay_f8e351ea9aebbc,16,0.5,8,432.09,INR,upi,authentication_failed,2,16.65,PAYMENT_LINK,REMINDER,1,False,0.0,0.0
rec_cec79642a13a9d,cust_eca04629e05b,pay_1b3fd4b095509b,13,0.786,3,9193.04,INR,wallet,bank_timeout,1,1.29,RETRY,,0,True,9193.04,2.13
rec_48340d51a5c6c5,cust_2dc091587b83,pay_bad4f3e03b5235,14,0.816,3,6317.76,INR,netbanking,bank_timeout,1,0.44,PAYMENT_LINK,,0,True,6317.76,1.69
rec_ced89c97c01d1c,cust_1b84edc3d8e0,pay_64ea1dd3d147a0,26,0.832,4,4690.63,INR,card,insufficient_funds,1,0.96,PAYMENT_LINK,,0,False,0.0,0.0
rec_a4fcc79cd49cc5,cust_1b84edc3d8e0,pay_64ea1dd3d147a0,26,0.832,4,4690.63,INR,card,insufficient_funds,2,3.15,PAYMENT_LINK,PAYMENT_LINK,1,True,4690.63,3.47
rec_c279d9137afd29,cust_9acb394acd1f,pay_44852295156684,6,0.971,0,1955.68,INR,card,unknown,1,1.92,PAYMENT_LINK,,0,True,1955.68,3.7
rec_d623c671e2eed6,cust_13f392894dcc,pay_54edfb704eb0c8,21,0.711,6,881.66,INR,upi,insufficient_funds,1,1.13,PAYMENT_LINK,,0,False,0.0,0.0
rec_fda2f9a02b6838,cust_b38a088ca65e,pay_3a0761d90624eb,3,0.707,1,611.65,INR,upi,bank_timeout,1,1.77,PAYMENT_LINK,,0,False,0.0,0.0
rec_2674d1ff6cdcd3,cust_5cae9610c72c,pay_5b7887ed4824fa,17,0.909,2,1133.43,INR,card,payment_method_issue,1,0.26,PAYMENT_LINK,,0,True,1133.43,1.13
rec_c71cdac2260d76,cust_1c3efda4689b,pay_49793220d14bc7,35,0.967,1,489.98,INR,netbanking,network_error,1,1.87,RETRY,,0,True,489.98,1.93
rec_51beadc15a4491,cust_38e59b2716dc,pay_b8a9f704725aa1,18,0.89,2,11787.05,INR,netbanking,bank_timeout,1,0.91,RETRY,,0,True,11787.05,1.27
rec_1567f88e6276ee,cust_e606d7c21e18,pay_9a0bd63d69f841,5,0.825,1,6001.19,INR,netbanking,authentication_failed,1,0.57,PAYMENT_LINK,,0,True,6001.19,1.92
rec_596ed71ce94f03,cust_bcd2e8eb3f55,pay_b18925a6c6cec5,3,0.948,0,4974.01,INR,card,insufficient_funds,1,0.49,PAYMENT_LINK,,0,True,4974.01,0.87
rec_bbab3b0e60a145,cust_d0713f73582a,pay_75dc037d4b7148,16,0.878,2,2588.27,INR,wallet,payment_method_issue,1,0.56,PAYMENT_LINK,,0,True,2588.27,2.97
rec_c3f26a392653de,cust_02b3c9484db6,pay_1b2375d0b38f10,20,0.802,4,3663.93,INR,netbanking,technical_error,1,0.16,RETRY,,0,True,3663.93,1.6
rec_80d7f8052c6fc0,cust_798b07573036,pay_b2d515d18706f7,48,0.809,9,29867.07,INR,upi,insufficient_funds,1,1.33,PAYMENT_LINK,,0,True,29867.07,2.95
rec_f37985dffa5960,cust_3ad24ac8bf70,pay_f2bffc3fae0e28,15,0.939,1,7987.4,INR,netbanking,payment_method_issue,1,1.05,PAYMENT_LINK,,0,True,7987.4,3.48
rec_2a31edfd61667c,cust_47c68688ecf3,pay_380a402d0e55ce,27,0.713,8,2502.01,INR,wallet,authentication_failed,1,0.25,PAYMENT_LINK,,0,False,0.0,0.0
rec_9a6aabb15cda03,cust_47c68688ecf3,pay_380a402d0e55ce,27,0.713,8,2502.01,INR,wallet,authentication_failed,2,3.12,PAYMENT_LINK,PAYMENT_LINK,1,True,2502.01,3.83
rec_0b7ce5c6909686,cust_57bcad3ad0a1,pay_29aaaa7e483eb6,7,0.946,0,381.89,INR,upi,network_error,1,0.69,RETRY,,0,True,381.89,1.4
rec_18ede297acb83f,cust_3e4c943a3dab,pay_508855810c4cee,3,0.732,1,1063.09,INR,wallet,network_error,1,1.92,RETRY,,0,True,1063.09,2.84
rec_17e1e8f6a03e70,cust_6cfbf1736b4d,pay_ceb7f2d6808ead,1,0.617,0,3213.17,INR,upi,insufficient_funds,1,1.75,PAYMENT_LINK,,0,False,0.0,0.0
rec_21962a11c90cd1,cust_6544e3136ea0,pay_ae742530ceb6bf,4,0.752,1,9919.43,INR,card,unknown,1,1.08,PAYMENT_LINK,,0,False,0.0,0.0
rec_b6779a11e40399,cust_6544e3136ea0,pay_ae742530ceb6bf,4,0.752,1,9919.43,INR,card,unknown,2,8.5,PAYMENT_LINK,PAYMENT_LINK,1,False,0.0,0.0
rec_16509f14e5278e,cust_f27f3ad74890,pay_9c425665ff3c03,10,0.901,1,11622.14,INR,upi,unknown,1,0.29,REMINDER,,0,True,11622.14,2.47
rec_ec95ccf1a6798a,cust_25e4240364f2,pay_4bacfa4aef1e4a,11,0.762,3,983.33,INR,card,bank_timeout,1,0.44,RETRY,,0,True,983.33,1.12
rec_8185716a69c718,cust_fdb1429e7010,pay_0a22be567cfe8a,16,0.748,4,1001.55,INR,upi,authentication_failed,1,1.39,PAYMENT_LINK,,0,True,1001.55,2.21
rec_636295093919e3,cust_aa5f8dfca0b3,pay_a4d47431fa38f5,20,0.499,10,2412.65,INR,upi,authentication_failed,1,0.39,PAYMENT_LINK,,0,False,0.0,0.0
rec_108134dc542709,cust_c8ee46bf571f,pay_77eee00f7743c1,12,0.763,3,11101.14,INR,upi,bank_timeout,1,1.49,REMINDER,,0,False,0.0,0.0
rec_1d447f4179e984,cust_c8ee46bf571f,pay_77eee00f7743c1,12,0.763,3,11101.14,INR,upi,bank_timeout,2,8.57,STOP,REMINDER,1,False,0.0,0.0
rec_79315fc6fa82f6,cust_466534972fe9,pay_27dea64c8b8a71,1,0.748,0,17530.23,INR,card,authentication_failed,1,1.98,PAYMENT_LINK,,0,False,0.0,0.0
rec_a2bc67154087be,cust_466534972fe9,pay_27dea64c8b8a71,1,0.748,0,17530.23,INR,card,authentication_failed,2,7.39,PAYMENT_LINK,PAYMENT_LINK,1,True,17530.23,9.3
rec_4c01f701c0d025,cust_65f202f983f0,pay_14eae37c67b291,1,0.712,0,2193.18,INR,netbanking,authentication_failed,1,1.37,REMINDER,,0,True,2193.18,3.63
rec_13eb459932d4d3,cust_a8535961632d,pay_79ba547e7b4bca,3,0.905,0,2393.8,INR,wallet,insufficient_funds,1,1.83,RETRY,,0,False,0.0,0.0
rec_be2a85c6bbfecb,cust_a8535961632d,pay_79ba547e7b4bca,3,0.905,0,2393.8,INR,wallet,insufficient_funds,2,15.39,REMINDER,RETRY,1,True,2393.8,17.07
rec_a261078d202f00,cust_73bb84e533f7,pay_e58118d1268794,31,0.71,9,611.96,INR,netbanking,bank_timeout,1,1.94,RETRY,,0,True,611.96,3.09
rec_5ec91fdc03add1,cust_031eef965f71,pay_bee6b06e37f7a9,6,0.939,0,27966.85,INR,upi,bank_timeout,1,0.82,REMINDER,,0,False,0.0,0.0
rec_1d0678b755f8bb,cust_b92da22b21df,pay_8088a7de4e9549,1,0.887,0,4122.71,INR,upi,unknown,1,0.89,REMINDER,,0,False,0.0,0.0
rec_1966d047db642c,cust_15f7ef61da4e,pay_8d8142152d4900,21,0.805,4,1718.74,INR,upi,technical_error,1,1.41,RETRY,,0,False,0.0,0.0
rec_1a8a76f369499f,cust_15f7ef61da4e,pay_8d8142152d4900,21,0.805,4,1718.74,INR,upi,technical_error,2,19.34,RETRY,RETRY,1,True,1718.74,20.98
rec_78360477db3945,cust_c78e0272c43b,pay_1986133d8b73ab,10,0.284,7,7530.25,INR,netbanking,network_error,1,1.72,PAYMENT_LINK,,0,False,0.0,0.0
rec_e71594ffd6a6e6,cust_8325bd9ebf98,pay_76c53d2be9fdd3,8,0.816,1,2496.17,INR,upi,network_error,1,0.11,RETRY,,0,True,2496.17,2.32
rec_3de8a4cd6e15c5,cust_29d0c613b0c7,pay_e672abf5011078,5,0.859,1,13242.57,INR,card,network_error,1,1.7,RETRY,,0,True,13242.57,2.17
rec_3b20d1546ff98c,cust_dff47c515ed1,pay_64b078a7a4f9a6,28,0.882,3,10211.98,INR,upi,bank_timeout,1,1.31,RETRY,,0,False,0.0,0.0
rec_c31db215d7d0dc,cust_dff47c515ed1,pay_64b078a7a4f9a6,28,0.882,3,10211.98,INR,upi,bank_timeout,2,4.9,RETRY,RETRY,1,True,10211.98,6.5
rec_be09f835067965,cust_3d175712d8b2,pay_f2de05fd28b7b5,14,0.896,1,460.11,INR,card,bank_timeout,1,1.56,RETRY,,0,True,460.11,3.99
rec_ef5a9491153d16,cust_b2a0f778809d,pay_5badd755c7101f,5,0.851,1,2026.06,INR,card,bank_timeout,1,1.7,PAYMENT_LINK,,0,True,2026.06,2.39
rec_19c59f2d640b7b,cust_14fcdd549e8f,pay_ddefb7bb945094,2,0.358,1,1484.56,INR,upi,bank_timeout,1,0.64,RETRY,,0,True,1484.56,1.58
rec_9b4dbb90a19733,cust_0cd620c20ea2,pay_f58f41b07c8c65,42,0.852,6,4892.66,INR,upi,payment_method_issue,1,1.3,PAYMENT_LINK,,0,True,4892.66,3.56
rec_375fdd57270026,cust_dedab0276550,pay_58c6d166fe65b7,23,0.865,3,1918.21,INR,upi,bank_timeout,1,1.51,RETRY,,0,True,1918.21,1.62
rec_bec5104077902d,cust_8f0881ee8011,pay_53d9a4dd078d27,17,0.806,3,432.64,INR,upi,bank_timeout,1,0.62,RETRY,,0,False,0.0,0.0
rec_34b16488cb4a1b,cust_5115d7ee3b90,pay_ec1f015566629b,13,0.922,1,683.29,INR,upi,payment_method_issue,1,0.63,PAYMENT_LINK,,0,False,0.0,0.0
rec_2ad0d57e730c19,cust_ed56c7145a96,pay_6c7a0c9d723764,12,0.847,2,959.69,INR,card,bank_timeout,1,0.83,RETRY,,0,False,0.0,0.0
rec_a82e2d6137164f,cust_eb22ec1d4df6,pay_4b21151268e931,14,0.86,2,10895.27,INR,wallet,authentication_failed,1,0.86,REMINDER,,0,True,10895.27,1.37
rec_8f9afd511a58fa,cust_ba1082170ad7,pay_02774ef31f4f4a,12,0.893,1,229.52,INR,card,insufficient_funds,1,1.61,REMINDER,,0,True,229.52,3.13
rec_6bd63443464017,cust_974ebb877ea4,pay_dc233c06ceb380,8,0.473,4,8165.54,INR,upi,network_error,1,0.93,RETRY,,0,True,8165.54,2.19
rec_09795e75671e9b,cust_bf67de423a0a,pay_9756fd3353ae10,21,0.943,1,1812.96,INR,card,authentication_failed,1,1.73,RETRY,,0,False,0.0,0.0
rec_d471104f1859c5,cust_bf67de423a0a,pay_9756fd3353ae10,21,0.943,1,1812.96,INR,card,authentication_failed,2,18.06,RETRY,RETRY,1,True,1812.96,19.69
rec_1f14eb34e914ae,cust_90ebba129412,pay_c0f1fa3a513357,15,0.514,7,422.35,INR,upi,authentication_failed,1,0.19,ESCALATE,,0,False,0.0,0.0
rec_e7232e8ad0ef0c,cust_d8914adf341c,pay_0c3edd5c395901,7,0.932,0,4248.61,INR,wallet,technical_error,1,1.48,RETRY,,0,False,0.0,0.0
rec_ecc385552b9b4f,cust_12476f57a5e5,pay_0d700c8bde3639,6,0.775,1,2396.84,INR,card,payment_method_issue,1,0.24,REMINDER,,0,False,0.0,0.0
rec_5268c87947d193,cust_ab132032b2e1,pay_dca524f251bfc9,4,0.904,0,1834.56,INR,netbanking,payment_method_issue,1,1.31,PAYMENT_LINK,,0,True,1834.56,2.53
rec_aba5d1c9035c5d,cust_01aec50599a0,pay_c425d02043892f,11,0.815,2,430.82,INR,upi,technical_error,1,1.35,RETRY,,0,True,430.82,3.78
rec_eaacabb4380248,cust_a93e7b5b1e4a,pay_5727bd831ac2c9,3,0.801,1,1852.46,INR,upi,technical_error,1,1.54,RETRY,,0,True,1852.46,2.83
rec_043f1b5f3d9580,cust_e13a14ca5911,pay_33f92a87837261,11,0.716,3,4691.58,INR,card,bank_timeout,1,0.68,RETRY,,0,True,4691.58,2.88
rec_190a40d65ea9f2,cust_720b274b82a7,pay_a971540479eae4,2,0.863,0,1184.48,INR,card,authentication_failed,1,0.77,PAYMENT_LINK,,0,True,1184.48,1.64
rec_1d7cf46d383661,cust_942130904368,pay_31a580d76c2ec0,15,0.932,1,1326.54,INR,upi,authentication_failed,1,1.04,REMINDER,,0,False,0.0,0.0
rec_e1f217be39f99c,cust_942130904368,pay_31a580d76c2ec0,15,0.932,1,1326.54,INR,upi,authentication_failed,2,3.89,PAYMENT_LINK,REMINDER,1,True,1326.54,4.1
rec_182047f700cb9c,cust_f97a822c15e5,pay_19ef13bf649423,12,0.875,2,2506.39,INR,upi,authentication_failed,1,0.42,REMINDER,,0,False,0.0,0.0
rec_558492ba6d8c55,cust_d0096b2a0041,pay_4e29b9dabd350d,10,0.955,0,9191.42,INR,card,network_error,1,0.42,RETRY,,0,False,0.0,0.0
rec_d5da16fd4a6899,cust_00a854738242,pay_ade03e6c2bb4a4,2,0.902,0,3087.6,INR,card,insufficient_funds,1,0.1,REMINDER,,0,True,3087.6,0.19
rec_4d171ebc5a45b8,cust_ec3b9258f943,pay_c67736bc258675,21,0.888,2,1051.89,INR,upi,insufficient_funds,1,1.5,PAYMENT_LINK,,0,True,1051.89,2.44
rec_5b7117bd244211,cust_5e5b2ad8b473,pay_dd7902fcdb617a,10,0.974,0,34638.06,INR,card,network_error,1,1.48,REMINDER,,0,False,0.0,0.0
rec_f5538cd3fcc1c4,cust_a0b8575544ca,pay_f9299271b22058,18,0.837,3,776.66,INR,card,payment_method_issue,1,0.82,PAYMENT_LINK,,0,True,776.66,2.21
rec_9110c9fd747cb1,cust_4588fc1bb238,pay_594de8d7add74b,8,0.851,1,6519.24,INR,upi,unknown,1,0.69,PAYMENT_LINK,,0,True,6519.24,2.24
rec_03fddd084b7336,cust_55327432b118,pay_f82f2dc31c3573,2,0.903,0,2795.25,INR,card,network_error,1,1.09,RETRY,,0,True,2795.25,2.33
rec_8f8d4107c4d5ac,cust_1a7167c76875,pay_1f997c8097d38a,2,0.826,0,1055.3,INR,upi,network_error,1,0.1,RETRY,,0,True,1055.3,2.25
rec_f7873461662c4f,cust_49a23a89e6b5,pay_fef43c9c248455,4,0.703,1,6888.46,INR,netbanking,insufficient_funds,1,0.16,PAYMENT_LINK,,0,False,0.0,0.0
rec_905c3fd92c5d84,cust_49a23a89e6b5,pay_fef43c9c248455,4,0.703,1,6888.46,INR,netbanking,insufficient_funds,2,16.63,ESCALATE,PAYMENT_LINK,1,False,0.0,0.0
rec_3312de73c48563,cust_49a23a89e6b5,pay_fef43c9c248455,4,0.703,1,6888.46,INR,netbanking,insufficient_funds,3,25.6,STOP,ESCALATE,2,False,0.0,0.0
rec_b1b2b9c6712072,cust_13f3cade7a10,pay_3313f36c8de58a,4,0.897,0,438.67,INR,upi,authentication_failed,1,1.14,RETRY,,0,False,0.0,0.0
rec_c960b8514d696e,cust_ff1b654d6c65,pay_5aac72b177e7ad,9,0.774,2,1376.42,INR,upi,bank_timeout,1,1.16,RETRY,,0,False,0.0,0.0
rec_0db4897a4b188a,cust_ff1b654d6c65,pay_5aac72b177e7ad,9,0.774,2,1376.42,INR,upi,bank_timeout,2,7.04,REMINDER,RETRY,1,True,1376.42,8.42
rec_7b417aed90c0e6,cust_157511addbea,pay_01862029ab8a50,2,0.834,0,2335.39,INR,upi,technical_error,1,0.26,ESCALATE,,0,True,2335.39,1.77
rec_4d074581279f5d,cust_f36cb62b892e,pay_aca6549295a97d,4,0.754,1,2206.46,INR,upi,authentication_failed,1,1.17,PAYMENT_LINK,,0,False,0.0,0.0
rec_b01200ab9fa870,cust_f36cb62b892e,pay_aca6549295a97d,4,0.754,1,2206.46,INR,upi,authentication_failed,2,13.22,REMINDER,PAYMENT_LINK,1,False,0.0,0.0
rec_344c96cc3f48e5,cust_f36cb62b892e,pay_aca6549295a97d,4,0.754,1,2206.46,INR,upi,authentication_failed,3,18.43,PAYMENT_LINK,REMINDER,2,True,2206.46,20.64
rec_a87d2106dbfbfe,cust_902059e4ff9a,pay_6405d362719dea,5,0.72,1,540.07,INR,upi,unknown,1,1.66,PAYMENT_LINK,,0,False,0.0,0.0
rec_be9e01a9d18c7f,cust_902059e4ff9a,pay_6405d362719dea,5,0.72,1,540.07,INR,upi,unknown,2,13.53,REMINDER,PAYMENT_LINK,1,False,0.0,0.0
rec_7affd9bd79e584,cust_902059e4ff9a,pay_6405d362719dea,5,0.72,1,540.07,INR,upi,unknown,3,26.05,PAYMENT_LINK,REMINDER,2,False,0.0,0.0
rec_4d81c859949e24,cust_8e8c71d8359d,pay_7e32e5d096b939,2,0.978,0,969.51,INR,upi,network_error,1,0.98,RETRY,,0,True,969.51,1.32
rec_35f5afea80d215,cust_bc633d6c6eaf,pay_71c966b39eb039,17,0.734,5,2738.76,INR,wallet,insufficient_funds,1,1.47,ESCALATE,,0,False,0.0,0.0
rec_64d88360ec68fc,cust_63021daa5ba3,pay_10116af48356ed,14,0.928,1,622.93,INR,upi,authentication_failed,1,0.97,PAYMENT_LINK,,0,False,0.0,0.0
rec_a8b260709b1872,cust_63021daa5ba3,pay_10116af48356ed,14,0.928,1,622.93,INR,upi,authentication_failed,2,4.06,ESCALATE,PAYMENT_LINK,1,False,0.0,0.0
rec_2121cc4f425ca2,cust_63021daa5ba3,pay_10116af48356ed,14,0.928,1,622.93,INR,upi,authentication_failed,3,8.95,ESCALATE,ESCALATE,2,False,0.0,0.0
rec_3b45d977c2896a,cust_d4e20134389a,pay_95a15905591cc4,5,0.295,4,6633.96,INR,card,technical_error,1,0.4,RETRY,,0,False,0.0,0.0
rec_c36b0890710802,cust_c891c9c68952,pay_3c92f1abcbacc3,3,0.259,2,2665.12,INR,upi,insufficient_funds,1,1.95,PAYMENT_LINK,,0,True,2665.12,2.09
rec_bdfdcc7b33815e,cust_b6ac20488430,pay_2c8fabbcec6dd4,12,0.723,3,2155.43,INR,card,unknown,1,1.19,RETRY,,0,False,0.0,0.0
rec_aeaf39512f701b,cust_3de667f9bfc4,pay_16054b9e313a4c,2,0.81,0,1960.52,INR,upi,bank_timeout,1,1.64,RETRY,,0,True,1960.52,3.03
rec_91b3f921122461,cust_2bde3c78a931,pay_30accfda7f055b,34,0.767,8,8133.33,INR,upi,insufficient_funds,1,1.28,PAYMENT_LINK,,0,True,8133.33,2.38
rec_f7d65f6a2869b5,cust_026f05f619ce,pay_1e307f1019d56f,6,0.834,1,343.14,INR,upi,bank_timeout,1,1.66,PAYMENT_LINK,,0,True,343.14,2.59
rec_0843280a07aca3,cust_9d2ce51b37e8,pay_848be725da6b00,3,0.74,1,31001.79,INR,upi,bank_timeout,1,1.43,RETRY,,0,False,0.0,0.0
rec_b3fdc2b89c2912,cust_23204ff5b538,pay_c3c5bbb5e355ce,5,0.907,0,770.85,INR,netbanking,insufficient_funds,1,1.54,PAYMENT_LINK,,0,True,770.85,3.56
rec_59aa7cd5a67c7b,cust_4c618a436f04,pay_121d87acfb267d,19,0.836,3,34729.41,INR,upi,bank_timeout,1,1.15,RETRY,,0,True,34729.41,1.29
rec_c403b430631a9c,cust_032a461adf9b,pay_f8b1f902e05f03,7,0.777,2,2806.49,INR,card,network_error,1,0.47,RETRY,,0,True,2806.49,0.56
rec_69bea8c93a24ec,cust_da003f16b946,pay_8caef9ec6d44f7,1,0.89,0,1425.27,INR,netbanking,unknown,1,0.8,PAYMENT_LINK,,0,True,1425.27,1.42
rec_ff82bf843e86cc,cust_899a5349cb93,pay_0bb8382f916ba2,11,0.718,3,12567.12,INR,upi,technical_error,1,0.25,RETRY,,0,True,12567.12,1.16
rec_f1015bfe4d7efc,cust_e27bb6c44d94,pay_1f540e96a85759,8,0.856,1,3687.4,INR,netbanking,bank_timeout,1,1.44,PAYMENT_LINK,,0,False,0.0,0.0
rec_447d30b8e49a3c,cust_e27bb6c44d94,pay_1f540e96a85759,8,0.856,1,3687.4,INR,netbanking,bank_timeout,2,9.31,REMINDER,PAYMENT_LINK,1,False,0.0,0.0
rec_9f32fd3ef35820,cust_e27bb6c44d94,pay_1f540e96a85759,8,0.856,1,3687.4,INR,netbanking,bank_timeout,3,16.41,REMINDER,REMINDER,2,True,3687.4,17.31
rec_c3a215ffa66060,cust_dd81b7f57d59,pay_d767a6da231b0c,4,0.864,1,20760.9,INR,upi,bank_timeout,1,0.81,RETRY,,0,False,0.0,0.0
rec_9696e8334728dd,cust_dd81b7f57d59,pay_d767a6da231b0c,4,0.864,1,20760.9,INR,upi,bank_timeout,2,10.07,PAYMENT_LINK,RETRY,1,False,0.0,0.0
rec_04d340e87ecfbf,cust_dd81b7f57d59,pay_d767a6da231b0c,4,0.864,1,20760.9,INR,upi,bank_timeout,3,18.22,ESCALATE,PAYMENT_LINK,2,True,20760.9,18.95
rec_ec35fb0c561266,cust_47e321c2a4ba,pay_34aababd397574,9,0.746,2,2046.79,INR,upi,network_error,1,0.16,REMINDER,,0,False,0.0,0.0
rec_5748218a070017,cust_47e321c2a4ba,pay_34aababd397574,9,0.746,2,2046.79,INR,upi,network_error,2,15.41,PAYMENT_LINK,REMINDER,1,False,0.0,0.0
rec_bc441fbcedb688,cust_47e321c2a4ba,pay_34aababd397574,9,0.746,2,2046.79,INR,upi,network_error,3,29.02,ESCALATE,PAYMENT_LINK,2,False,0.0,0.0
rec_fe1be3e9bee1dc,cust_4c618a436f04,pay_f3d54f3e635b36,19,0.836,3,9101.73,INR,netbanking,payment_method_issue,1,0.98,PAYMENT_LINK,,0,True,9101.73,1.43
rec_cf6d2a9da72d0b,cust_9acb394acd1f,pay_ccb1dc1e47dbf6,6,0.971,0,5469.54,INR,wallet,network_error,1,0.66,RETRY,,0,True,5469.54,1.37
